Workbook row,Priority,Keyword,Language,Source type,Intent,Origin,Destination,Service / modifier,Recommended cluster,Current page,Current ranking evidence,Existing coverage,Missing coverage,Cannibalization risk,Classification,Recommended action,Evidence / handling note
56,P0,توصيل اغراض من البحرين الى مدينة الكويت,AR,Systematic long-tail expansion,Commercial,البحرين,مدينة الكويت,طرود صغيرة,البحرين ← مدينة الكويت,/bahrain-saudi-gcc-transport/kuwait-to-bahrain/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
57,P0,توصيل اغراض من البحرين الى مطار الدمام,AR,Systematic long-tail expansion,Commercial,البحرين,مطار الدمام,طرود صغيرة,البحرين ← مطار الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam-airport/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
58,P0,توصيل اغراض من الخبر الى البحرين,AR,Systematic long-tail expansion,Commercial,الخبر,البحرين,طرود صغيرة,الخبر ← البحرين,/bahrain-saudi-gcc-transport/khobar-to-bahrain/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
59,P0,توصيل اغراض من الدمام الى البحرين,AR,Systematic long-tail expansion,Commercial,الدمام,البحرين,طرود صغيرة,الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-to-bahrain/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
60,P0,توصيل اغراض من الدوحة الى البحرين,AR,Systematic long-tail expansion,Commercial,الدوحة,البحرين,طرود صغيرة,الدوحة ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-qatar/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
61,P0,توصيل اغراض من الظهران الى البحرين,AR,Systematic long-tail expansion,Commercial,الظهران,البحرين,طرود صغيرة,الظهران ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-dhahran/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
62,P0,توصيل اغراض من مدينة الكويت الى البحرين,AR,Systematic long-tail expansion,Commercial,مدينة الكويت,البحرين,طرود صغيرة,مدينة الكويت ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-kuwait/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
63,P0,توصيل اغراض من مطار الدمام الى البحرين,AR,Systematic long-tail expansion,Commercial,مطار الدمام,البحرين,طرود صغيرة,مطار الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-airport-to-bahrain/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
64,P0,توصيل البحرين الخبر,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/bahrain-to-khobar/,GSC avg position 22.66; authority/ranking gap,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
65,P0,توصيل البحرين الدمام,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/bahrain-to-dammam/,GSC avg position 14.14; page-two growth opportunity,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
66,P0,توصيل البحرين الى الدمام,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/bahrain-to-dammam/,GSC avg position 14.14; page-two growth opportunity,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
67,P0,توصيل البحرين قطر,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/,GSC avg position 7.88; page-one winner,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Directly observed in Google Bahrain suggestions on 16 Sep 2026
